Commodity Name,Monthly Avg,1 Month Change,12 Month Change,Year to Date Change,URL
Sunflower oil,925.08,-1.94%,-20.16%,-1.94%,https://www.indexmundi.com/commodities/?commodity=sunflower-oil
Coarse Wool,873.47,-3.75%,-8.04%,-3.75%,https://www.indexmundi.com/commodities/?commodity=coarse-wool
Cotton,2.19,7.88%,0.00%,7.88%,https://www.indexmundi.com/commodities/?commodity=cotton
Fine Wool,921.18,-5.03%,-22.75%,-5.03%,https://www.indexmundi.com/commodities/?commodity=fine-wool
Hard Logs,199.13,-2.25%,-11.11%,-2.25%,https://www.indexmundi.com/commodities/?commodity=hard-logs
Hard Sawnwood,688.39,-0.56%,4.43%,-0.56%,https://www.indexmundi.com/commodities/?commodity=hard-sawn-wood
Hides,57.86,-1.08%,0.71%,-1.08%,https://www.indexmundi.com/commodities/?commodity=hides
Plywood,365.25,-2.25%,-11.11%,-2.25%,https://www.indexmundi.com/commodities/?commodity=plywood
Rubber,2.02,12.22%,24.69%,12.22%,https://www.indexmundi.com/commodities/?commodity=rubber
Soft Logs,201.32,0.00%,-9.34%,0.00%,https://www.indexmundi.com/commodities/?commodity=soft-logs
Soft Sawnwood,315.11,0.00%,-5.06%,0.00%,https://www.indexmundi.com/commodities/?commodity=soft-sawn-wood
Aluminum,"2,179.09",-0.63%,-9.81%,-0.63%,https://www.indexmundi.com/commodities/?commodity=aluminum
"Copper, grade A cathode","8,300.12",-0.46%,-7.12%,-0.46%,https://www.indexmundi.com/commodities/?commodity=copper
Gold,"2,023.24",-0.53%,9.10%,-0.53%,https://www.indexmundi.com/commodities/?commodity=gold
Iron Ore,124.39,-8.42%,-2.52%,-8.42%,https://www.indexmundi.com/commodities/?commodity=iron-ore
Lead,"2,080.93",-0.25%,-0.58%,-0.25%,https://www.indexmundi.com/commodities/?commodity=lead
Nickel,"16,271.91",1.04%,-39.12%,1.04%,https://www.indexmundi.com/commodities/?commodity=nickel
Silver,22.66,-1.13%,3.38%,-1.13%,https://www.indexmundi.com/commodities/?commodity=silver
Tin,"26,091.07",3.95%,-2.87%,3.95%,https://www.indexmundi.com/commodities/?commodity=tin
Uranium,81.32,1.19%,96.85%,1.19%,https://www.indexmundi.com/commodities/?commodity=uranium
Zinc,"2,359.01",-6.22%,-24.72%,-6.22%,https://www.indexmundi.com/commodities/?commodity=zinc
DAP fertilizer,583.81,-2.09%,-4.68%,-2.09%,https://www.indexmundi.com/commodities/?commodity=dap-fertilizer
Potassium Chloride,289.38,-2.32%,-41.76%,-2.32%,https://www.indexmundi.com/commodities/?commodity=potassium-chloride
Rock Phosphate,152.50,0.00%,-52.71%,0.00%,https://www.indexmundi.com/commodities/?commodity=rock-phosphate
Triple Superphosphate,454.38,0.83%,-17.01%,0.83%,https://www.indexmundi.com/commodities/?commodity=triple-superphosphate
Urea,351.25,4.73%,-1.75%,4.73%,https://www.indexmundi.com/commodities/?commodity=urea
